country,year,gdp,population,unemployment,gdp_growth,gdp_per_capita,growth_category,decade,population_growth,gdp_category
Arab World,1972,59970718932.0004,127535560.0,6.06402519158205,13.9429069277923,470.22743250588616,High,1970,2.8920746867245217,Low GDP
Arab World,1973,79130725986.8478,131335660.0,6.06402519158205,13.2947146479667,602.5075443093505,High,1970,2.979639560919334,Low GDP
Arab World,1974,152199035091.115,135282861.0,6.06402519158205,10.5187700857058,1125.042994848512,High,1970,3.0054297515236916,Low GDP
Arab World,1975,168169966031.31,139495837.0,6.06402519158205,-0.0456144446713438,1205.555446298444,Low,1970,3.1141978879349663,Low GDP
Arab World,1976,210007567495.429,144014135.0,6.06402519158205,14.3179019124218,1458.242744682173,High,1970,3.2390199572765788,Low GDP
Arab World,1977,242286792667.265,148599336.0,6.06402519158205,6.60346668639542,1630.4702240881145,High,1970,3.1838548348049223,Low GDP
Arab World,1978,265416211837.584,153568663.0,6.06402519158205,2.93918448881402,1728.3227362445946,Medium,1970,3.3441111742249063,Low GDP
Arab World,1979,358135553984.577,159054118.0,6.06402519158205,10.644372233583,2251.6584825837517,High,1970,3.571988511744739,Low GDP
Arab World,1980,486438763949.335,164657321.0,6.06402519158205,6.28157920978545,2954.2492310398698,High,1980,3.5228279974492738,Low GDP
Arab World,1981,494934288111.785,170015485.0,6.06402519158205,0.849205172141623,2911.112997217783,Low,1980,3.254130437358449,Low GDP
Arab World,1982,463099887499.949,175370356.0,6.06402519158205,-5.98818162487498,2640.6965125847664,Low,1980,3.149637222750612,Low GDP
Arab World,1983,437476513138.035,180973288.0,6.06402519158205,-3.76401428366854,2417.3540635346967,Low,1980,3.1949139682421634,Low GDP
Arab World,1984,440187316546.138,186733957.0,6.06402519158205,1.23805255780154,2357.296571111263,Low,1980,3.1831598263275085,Low GDP
Arab World,1985,432863846846.03,192563243.0,6.06402519158205,-0.842753181311537,2247.904844675004,Low,1980,3.1217064607054867,Low GDP
Arab World,1986,405451959728.242,198509771.0,6.06402519158205,-0.785453375003499,2042.4786028705962,Low,1980,3.0880909083983443,Low GDP
Arab World,1987,431233175938.527,204524595.0,6.06402519158205,0.251323208806838,2108.466103739391,Low,1980,3.0299888865420233,Low GDP
Arab World,1988,429362637000.525,210269696.0,6.06402519158205,3.27932030261593,2041.9615625473916,Medium,1980,2.809002506520053,Low GDP
Arab World,1989,457356344756.136,215969068.0,6.06402519158205,3.81174646867586,2117.69374656993,Medium,1980,2.7105056546046447,Low GDP
Arab World,1990,641684045874.297,223184294.0,6.06402519158205,7.84688313128599,2875.130836376403,High,1990,3.3408608310519616,Low GDP
Arab World,1991,467929266012.123,228402316.0,11.9097573121416,-0.695508853930463,2048.706310018866,Low,1990,2.3379879948003834,Low GDP
Arab World,1992,467773383888.633,234321565.0,12.1536912884059,6.56285573719843,1996.2882370157993,High,1990,2.591588869878181,Low GDP
Arab World,1993,478901764895.936,240926205.0,12.9097459716624,3.25872270635064,1987.7529092193852,Medium,1990,2.8186223491636353,Low GDP
Arab World,1994,499875724097.082,247626514.0,13.012183394794,3.35535846189705,2018.668017501074,Medium,1990,2.7810627739726312,Low GDP
Arab World,1995,528474798399.241,253952538.0,13.5049205239265,2.79717417513079,2080.9982942530823,Medium,1990,2.5546634315580574,Low GDP
Arab World,1996,570906157108.378,260229121.0,12.4585943877988,4.81891470640477,2193.859606928381,Medium,1990,2.4715575002443924,Low GDP
Arab World,1997,614595338335.664,266565183.0,11.9963600041588,5.44647642581937,2305.6099503274736,High,1990,2.4348012918969264,Low GDP
Arab World,1998,598783412688.275,273094199.0,11.9519989476751,4.76529490024946,2192.5892782815026,Medium,1990,2.449313119785801,Low GDP
Arab World,1999,665404837896.43,279709634.0,12.1410531058538,2.77591869066383,2378.912833214855,Medium,1990,2.422400411368675,Low GDP
Arab World,2000,763400003917.068,286548096.0,12.6227231888262,6.33672922415394,2664.1252012264913,High,2000,2.4448432119431374,Low GDP
Arab World,2001,744722772315.71,293580252.0,12.49820212983,2.09740745302985,2536.6923260073704,Medium,2000,2.4540927328304374,Low GDP
Arab World,2002,746650656664.553,300691509.0,12.5062276655765,1.22074845072102,2483.1118748502904,Low,2000,2.4222531834327876,Low GDP
Arab World,2003,830076413454.428,307815105.0,12.4496966444039,4.29553168417598,2696.672125477494,Medium,2000,2.3690712197663055,Low GDP
Arab World,2004,987304981951.166,315060277.0,11.4271164700074,9.07459188707813,3133.70187873975,High,2000,2.3537415423456887,Low GDP
Arab World,2005,1210081969427.04,322628451.0,11.2344112966755,5.57295529835658,3750.6982588681867,High,2000,2.4021352587079603,Low GDP
Arab World,2006,1439461108230.61,330526310.0,10.5176425576734,6.27629734101785,4355.057569337249,High,2000,2.4479735049777185,Low GDP
Arab World,2007,1674641032780.09,338947976.0,10.1456780757217,4.60116470281086,4940.702265117199,Medium,2000,2.5479563185151655,Low GDP
Arab World,2008,2118071078804.52,347684619.0,9.87515901443002,5.57116008739757,6091.932064456725,High,2000,2.577576388891023,Low GDP
Arab World,2009,1829849574764.63,356386673.0,9.46079216862091,0.648247152976467,5134.4500605515905,Low,2000,2.502858488543036,Low GDP
Arab World,2010,2161397546202.94,363568534.0,9.57178825247491,4.84064243847079,5944.952172904325,Medium,2010,2.0151878687113545,Low GDP
Arab World,2011,2573067811497.98,372054934.0,10.6873951414609,3.85320358755794,6915.827681236932,Medium,2010,2.334195400969441,Low GDP
Arab World,2012,2813567531715.43,381030177.0,11.0650966632009,5.49375422924652,7384.106828146135,High,2010,2.4123434954903766,Low GDP
Arab World,2013,2883689839002.54,390954281.0,11.0350018909533,2.64732060879508,7376.028295754971,Medium,2010,2.6045454137350488,Low GDP
Arab World,2014,2937035588682.67,400231008.0,11.0319261608507,2.6597523137165,7338.3509272791525,Medium,2010,2.3728419027083225,Low GDP
Arab World,2015,2580328583417.41,410190679.0,11.1524464292006,3.35080366726505,6290.558795016915,Medium,2010,2.4884806026823414,Low GDP
Arab World,2016,2536564595458.87,419808341.0,10.8617161429412,3.57286827951262,6042.196754396717,Medium,2010,2.344680777107566,Low GDP
Arab World,2017,2611323720520.0,428315886.0,11.1152019032057,1.32901000226768,6096.723950416353,Low,2010,2.026530721074926,Low GDP
Arab World,2018,2920829737234.67,435998060.0,10.6546406452031,2.67255324455269,6699.180581754584,Medium,2010,1.793576715480505,Low GDP
Arab World,2019,2965285548936.01,444281315.0,10.2137182910936,1.74778112240244,6674.3422440261975,Low,2010,1.899837581846131,Low GDP
Arab World,2020,2604104981819.8,453723239.0,11.2951503646669,-5.30102786914752,5739.412835805397,Low,2020,2.125212940814314,Low GDP
Arab World,2021,3085141461685.6,460646603.0,10.8627489086684,4.43160883511413,6697.414984921967,Medium,2020,1.5259002415787704,Low GDP
Arab World,2022,3747416641077.45,471352066.0,9.74413095599936,7.00775934349392,7950.355819756713,High,2020,2.3240078034397316,Low GDP
Arab World,2023,3622495663981.78,482105978.0,9.31338863204988,1.63495022269882,7513.899078807482,Low,2020,2.2815031004870923,Low GDP
Arab World,2024,3735881442514.34,492612632.0,9.26592419265216,1.70353102787844,7583.811700781436,Low,2020,2.17932456336396,Low GDP
Caribbean small states,1960,1165303060.28689,2558348.0,6.06402519158205,4.01863104412614,455.49044160016155,Medium,1960,0.0,Low GDP
Caribbean small states,1961,1272022469.10602,2614258.0,6.06402519158205,9.66561504945618,486.57112997493743,High,1960,2.1853946374770006,Low GDP
